,AVG1,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,월,선수
0,0.5,3.4285714285714284,0.7142857142857143,1.7142857142857142,0.5714285714285714,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.5,2018-3-31,양의지
1,0.371,3.0434782608695654,0.6521739130434783,1.1304347826086956,0.2608695652173913,0.0,0.13043478260869565,0.5652173913043478,0.13043478260869565,0.0,0.34782608695652173,0.13043478260869565,0.391304347826087,0.0,0.40399999999999997,2018-4-30,양의지
2,0.381,3.8181818181818183,0.7727272727272727,1.4545454545454546,0.22727272727272727,0.0,0.22727272727272727,0.7272727272727273,0.0,0.0,0.18181818181818182,0.045454545454545456,0.4090909090909091,0.045454545454545456,0.39299999999999996,2018-5-31,양의지
3,0.346,3.375,0.7083333333333334,1.1666666666666667,0.20833333333333334,0.041666666666666664,0.3333333333333333,0.7916666666666666,0.0,0.0,0.5,0.041666666666666664,0.125,0.20833333333333334,0.37799999999999995,2018-6-30,양의지
4,0.385,3.0952380952380953,0.47619047619047616,1.1904761904761905,0.19047619047619047,0.0,0.14285714285714285,0.5714285714285714,0.047619047619047616,0.0,0.23809523809523808,0.047619047619047616,0.23809523809523808,0.19047619047619047,0.38,2018-7-31,양의지
5,0.243,3.0833333333333335,0.5,0.75,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.08333333333333333,0.25,0.0,0.366,2018-8-31,양의지
6,0.281,3.1666666666666665,0.7222222222222222,0.8888888888888888,0.16666666666666666,0.0,0.1111111111111111,0.4444444444444444,0.0,0.0,0.3888888888888889,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.354,2018-9-30,양의지
7,0.429,3.5,0.16666666666666666,1.5,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.358,2018-10-31,양의지
8,0.435,3.2857142857142856,0.8571428571428571,1.4285714285714286,0.0,0.0,0.42857142857142855,1.1428571428571428,0.0,0.14285714285714285,1.2857142857142858,0.42857142857142855,0.7142857142857143,0.14285714285714285,0.435,2018-3-31,박병호
9,0.194,3.272727272727273,0.2727272727272727,0.6363636363636364,0.09090909090909091,0.0,0.09090909090909091,0.45454545454545453,0.0,0.0,0.7272727272727273,0.0,1.0,0.0,0.28800000000000003,2018-4-30,박병호
10,0.364,2.2,0.6,0.8,0.0,0.0,0.5,0.9,0.0,0.0,0.7,0.2,0.4,0.0,0.309,2018-5-31,박병호
11,0.383,3.76,0.84,1.44,0.16,0.0,0.32,1.12,0.0,0.0,0.56,0.08,1.04,0.12,0.349,2018-6-30,박병호
12,0.291,3.909090909090909,0.6818181818181818,1.1363636363636365,0.3181818181818182,0.0,0.4090909090909091,0.9090909090909091,0.0,0.0,0.36363636363636365,0.09090909090909091,1.1363636363636365,0.045454545454545456,0.33,2018-7-31,박병호
13,0.4,3.8461538461538463,0.8461538461538461,1.5384615384615385,0.15384615384615385,0.0,0.5384615384615384,1.6153846153846154,0.0,0.0,0.6923076923076923,0.07692307692307693,1.0769230769230769,0.15384615384615385,0.341,2018-8-31,박병호
14,0.346,3.5454545454545454,1.0,1.2272727272727273,0.2727272727272727,0.0,0.36363636363636365,0.8181818181818182,0.0,0.0,0.45454545454545453,0.3181818181818182,1.1363636363636365,0.09090909090909091,0.342,2018-9-30,박병호
15,0.455,3.6666666666666665,1.3333333333333333,1.6666666666666667,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,1.3333333333333333,0.0,0.345,2018-10-31,박병호
16,0.208,3.4285714285714284,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,1.2857142857142858,0.14285714285714285,0.20800000000000002,2018-3-31,번즈
17,0.245,4.076923076923077,0.38461538461538464,1.0,0.23076923076923078,0.0,0.15384615384615385,0.38461538461538464,0.0,0.0,0.07692307692307693,0.07692307692307693,1.1538461538461537,0.07692307692307693,0.23399999999999999,2018-4-30,번즈
18,0.244,3.25,0.5833333333333334,0.7916666666666666,0.16666666666666666,0.125,0.125,0.375,0.0,0.0,0.20833333333333334,0.041666666666666664,1.0,0.041666666666666664,0.239,2018-5-31,번즈
19,0.385,3.84,1.08,1.48,0.24,0.0,0.48,1.12,0.0,0.0,0.36,0.04,0.96,0.04,0.295,2018-6-30,번즈
20,0.301,3.4761904761904763,0.8095238095238095,1.0476190476190477,0.42857142857142855,0.09523809523809523,0.09523809523809523,0.3333333333333333,0.047619047619047616,0.0,0.42857142857142855,0.047619047619047616,1.1428571428571428,0.0,0.29600000000000004,2018-7-31,번즈
21,0.238,3.8181818181818183,0.5454545454545454,0.9090909090909091,0.2727272727272727,0.0,0.18181818181818182,0.7272727272727273,0.2727272727272727,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.7272727272727273,0.09090909090909091,0.29,2018-8-31,번즈
22,0.186,3.1818181818181817,0.3181818181818182,0.5909090909090909,0.18181818181818182,0.0,0.09090909090909091,0.2727272727272727,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.18181818181818182,1.0,0.13636363636363635,0.273,2018-9-30,번즈
23,0.192,2.6,0.3,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.268,2018-10-31,번즈
24,0.226,4.428571428571429,0.42857142857142855,1.0,0.14285714285714285,0.0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.14285714285714285,0.14285714285714285,1.0,0.14285714285714285,0.226,2018-3-31,김하성
25,0.309,3.88,0.44,1.2,0.2,0.08,0.12,0.52,0.04,0.08,0.28,0.0,0.64,0.08,0.289,2018-4-30,김하성
26,0.417,4.285714285714286,1.1428571428571428,1.7857142857142858,0.21428571428571427,0.07142857142857142,0.35714285714285715,1.2142857142857142,0.14285714285714285,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.33,2018-5-31,김하성
27,0.378,4.083333333333333,1.0833333333333333,1.5416666666666667,0.375,0.0,0.08333333333333333,0.5416666666666666,0.125,0.0,0.625,0.0,0.5416666666666666,0.041666666666666664,0.34600000000000003,2018-6-30,김하성
28,0.161,3.782608695652174,0.5652173913043478,0.6086956521739131,0.17391304347826086,0.043478260869565216,0.13043478260869565,0.43478260869565216,0.0,0.0,0.5652173913043478,0.08695652173913043,0.6086956521739131,0.2608695652173913,0.303,2018-7-31,김하성
29,0.302,3.909090909090909,1.1818181818181819,1.1818181818181819,0.0,0.0,0.2727272727272727,1.0,0.09090909090909091,0.0,0.6363636363636364,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.303,2018-8-31,김하성
30,0.221,3.739130434782609,0.5217391304347826,0.8260869565217391,0.21739130434782608,0.0,0.13043478260869565,0.6956521739130435,0.043478260869565216,0.0,0.43478260869565216,0.043478260869565216,0.9565217391304348,0.17391304347826086,0.289,2018-9-30,김하성
31,0.222,4.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.28800000000000003,2018-10-31,김하성
32,0.222,3.857142857142857,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.5714285714285714,0.14285714285714285,1.4285714285714286,0.0,0.222,2018-3-31,최정
33,0.279,3.909090909090909,1.0454545454545454,1.0909090909090908,0.22727272727272727,0.0,0.5454545454545454,1.2272727272727273,0.09090909090909091,0.0,0.5909090909090909,0.18181818181818182,1.2727272727272727,0.09090909090909091,0.265,2018-4-30,최정
34,0.218,3.391304347826087,0.5652173913043478,0.7391304347826086,0.043478260869565216,0.0,0.21739130434782608,0.391304347826087,0.043478260869565216,0.0,0.34782608695652173,0.30434782608695654,1.0869565217391304,0.08695652173913043,0.24600000000000002,2018-5-31,최정
35,0.267,3.3333333333333335,0.9444444444444444,0.8888888888888888,0.16666666666666666,0.0,0.3888888888888889,0.5555555555555556,0.05555555555555555,0.0,0.4444444444444444,0.2222222222222222,0.9444444444444444,0.1111111111111111,0.251,2018-6-30,최정
36,0.233,3.75,0.75,0.875,0.1875,0.0625,0.375,0.625,0.0625,0.0625,0.4375,0.1875,1.3125,0.0,0.248,2018-7-31,최정
37,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.243,2018-8-31,최정
38,0.212,3.3,0.75,0.7,0.1,0.0,0.1,0.5,0.0,0.0,0.5,0.2,0.9,0.2,0.23800000000000002,2018-9-30,최정
39,0.348,3.2857142857142856,1.2857142857142858,1.1428571428571428,0.0,0.0,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.14285714285714285,1.1428571428571428,0.0,1.0,0.0,0.244,2018-10-31,최정
40,0.308,3.7142857142857144,0.8571428571428571,1.1428571428571428,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.5714285714285714,0.0,1.0,0.0,0.308,2018-3-31,한동민
41,0.254,3.3157894736842106,0.7894736842105263,0.8421052631578947,0.21052631578947367,0.0,0.2631578947368421,0.7368421052631579,0.10526315789473684,0.0,0.6842105263157895,0.0,0.8947368421052632,0.10526315789473684,0.27,2018-4-30,한동민
42,0.195,3.9545454545454546,0.5909090909090909,0.7727272727272727,0.13636363636363635,0.0,0.2727272727272727,0.6818181818181818,0.0,0.045454545454545456,0.36363636363636365,0.09090909090909091,0.8636363636363636,0.22727272727272727,0.233,2018-5-31,한동민
43,0.276,3.4545454545454546,0.7272727272727273,0.9545454545454546,0.22727272727272727,0.0,0.4090909090909091,1.1818181818181819,0.045454545454545456,0.0,0.45454545454545453,0.22727272727272727,1.1363636363636365,0.0,0.24600000000000002,2018-6-30,한동민
44,0.333,3.4285714285714284,0.5714285714285714,1.1428571428571428,0.42857142857142855,0.0,0.14285714285714285,0.8095238095238095,0.0,0.0,0.2857142857142857,0.0,0.7142857142857143,0.047619047619047616,0.265,2018-7-31,한동민
45,0.333,3.230769230769231,0.8461538461538461,1.0769230769230769,0.23076923076923078,0.0,0.23076923076923078,0.9230769230769231,0.0,0.0,0.3076923076923077,0.3076923076923077,0.6923076923076923,0.07692307692307693,0.273,2018-8-31,한동민
46,0.34,3.9166666666666665,0.7916666666666666,1.3333333333333333,0.20833333333333334,0.0,0.5,1.0833333333333333,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.041666666666666664,1.0,0.041666666666666664,0.287,2018-9-30,한동민
47,0.231,3.25,0.625,0.75,0.0,0.0,0.125,0.25,0.0,0.0,0.375,0.5,1.0,0.0,0.284,2018-10-31,한동민
